material_name,halal_status,etc,reason
(1-하이드록시에틸리덴)비스포스포닉산,,,
(56)-메톡시-3-메틸피라진,,,
(액상)과당,,,
2-부타논,,,
5'-리보뉴클레오티드이나트륨,,,
1-글루타민산나트륨,,,
1-디포스포닌산,,,
1-옥텐-3-올,,,
1-하이드록시에틸리덴-1,,,
10종혼합유산균분말,,,
14종아미노산혼합제제,,,
19곡물식초,,,
1말토덱스트린,,,
1차맛내기,,,
1회구운소금,,,
2-노나논,,,
2-메톡시-3,,,
2-메톡시-3(56)-이소프로필피라진,,,
2-메틸부탄올,,,
2-메틸부티릭에시드,,,
2-메틸부티릭산,,,
2-메틸부틸아세테이트,,,
2-메틸부틸아세티이트,,,
2-메틸치오-3(56)메틸피라진,,,
2-메틸-2-펜테노익에시드,,,
2-메틸티오-3,,,
2-메틸티오-3-메틸피라진,,,
2-메틸피라진,,,
2-아세틸티아졸,,,
2-아세틸피라딘,,,
2-아세틸피라진,,,
2-아세틸피롤,,,
2-아세틸피리딘,,,
2-아세틸-3-메틸피라진,,,
2-에틸,,,
2-에틸피라진,,,
2-에틸-3,,,
2-에틸-5-메틸피라진,,,
2-운데카논,,,
2-이소부틸-3-메톡시피라진,,,
2-이소프로필-4-메틸티아졸,,,
2-퍼푸랄데하이드,,,
2-푸랄데히드,,,
2-프로판올(이소프로판올),,,
2-헵타논,,,
23-펜탄디온,,,
2배사과식초,,,
2배쇠고기육장,,,
2배식초,,,
2배양조식초,,,
2초산에틸,,,
3-디메독시벤젠,,,
3-디메틸피라진,,,
3-디에틸피라진,,,
3-디옥소란,,,
3-디옥소랜,,,
3-펜탄디온,,,
35소주증류원액(백미조제종국효모누룩정제효소제),,,
3종혼합유산균,,,
3회구운죽염,,,
4-메틸-2-펜틸-1,,,
4-메틸-5-티아졸에탄올,,,
4-메틸-5-티아졸에탄올아세테이트,,,
4-메틸티아졸,,,
4-시네올,,,
4-에틸구아이아콜,,,
4-카르보멘테놀,,,
4-트리메틸,,,
42정제주정(주정),,,
42증류원액(백미누룩정제효소제효모),,,
4년근(고시형),,,
4종혼합유산균,,,
5이노신산이나트륨,,,
5'-구아닐산이나트륨,,,
5'-구아닐신이나트륨,,,
