raw_name,normalized_name
Strawberry Flavor,strawberryflavor
Strawberry Key Base,strawberrykeybase
Strawberry61935601,strawberry61935601
Strawberry61938101,strawberry61938101
Streptococcus salivarius,streptococcussalivarius
Streptococcus thermophilus,streptococcusthermophilus
Streptococcus thermophilus(고시형),streptococcusthermophilus(고시형)
Streptococcus thermophilus분말,streptococcusthermophilus분말
Sucralose,sucralose
Sugar Flavor 1194480,sugarflavor1194480
Sugar Flavor 11944800,sugarflavor11944800
TANNIN (TO BE SPECIFIED),tannin(tobespecified)
TFF 추출물,tff추출물
TKF-1016,tkf-1016
TRIACETIN,triacetin
TUTTI FRUIT FLAVOUR,tuttifruitflavour
TW,tw
Taurine,taurine
Tef씨앗,tef씨앗
Thiazole and its derivatives,thiazoleanditsderivatives
Thick flo-K,thickflo-k
Trans-2-Hexanal,trans-2-hexanal
Tumeric C8 Powder,tumericc8powder
Turmeric Oleoresin,turmericoleoresin
Type #133201,type133201
Typha minima뿌리,typhaminima뿌리
Typycha kuratu줄기,typychakuratu줄기
UREX 프로바이오틱스(기능성원료인정제2014-27호),urex프로바이오틱스(기능성원료인정제2014-27호)
Ume Flavor 12101100,umeflavor12101100
UmeFlavor,umeflavor
VB75,vb75
VMP,vmp
Vaccinium modestum열매,vacciniummodestum열매
Vanilla Flavor,vanillaflavor
WPC,wpc
Wasabi Flavour,wasabiflavour
Water distilled,waterdistilled
Weissella cibaria,weissellacibaria
Weissella confusa,weissellaconfusa
Weissella koreensis,weissellakoreensis
White mustard씨앗,whitemustard씨앗
Wild Date열매,wilddate열매
Woundwort덩이줄기,woundwort덩이줄기
YAGURT TYPE FLAVOR,yagurttypeflavor
YeastExtractMf00,yeastextractmf00
Yellow,yellow
Yellow color,yellowcolor
Zanthoxylum bungeanum열매,zanthoxylumbungeanum열매
Zygosaccharomyces rouxii,zygosaccharomycesrouxii
a-이오논,a-이오논
alfrkfn,alfrkfn
algid,algid
allim hookeri,allimhookeri
allium,allium
aqTkf,aqtkf
candelilla wax,candelillawax
carnauba wax,carnaubawax
cgf,cgf
cheery falavor,cheeryfalavor
cheery flavor,cheeryflavor
chicken Flavor,chickenflavor
chocolate Flavour W1020093,chocolateflavourw1020093
cis 3-Hexenol,cis3-hexenol
cis-3-Hexen-1-yl acetate,cis-3-hexen-1-ylacetate
cis-3-Hexenyl lactate,cis-3-hexenyllactate
citrus extract,citrusextract
compound,compound
cuttlefish ink power,cuttlefishinkpower
d-α-토코페롤,d--토코페롤
d-α-토코페릴아세테이트,d--토코페릴아세테이트
d-α-토코페릴호박산,d--토코페릴호박산
d-데세노락톤,d-데세노락톤
d-캄포,d-캄포
d-토코페놀(혼합형),d-토코페놀(혼합형)
d-토코페롤(나-76),d-토코페롤(나-76)
dh-알파 토코페롤,dh-알파토코페롤
di-멘톨,di-멘톨
dl-α-토코페릴아세테이트,dl--토코페릴아세테이트
dl-알파-토코페롤,dl-알파-토코페롤
dl알라닌,dl알라닌
e-폴릴리신,e-폴릴리신
ethyl aceto acetate,ethylacetoacetate
ethyl isovaierate,ethylisovaierate
ethyl myristate,ethylmyristate
fos프락토올리고당,fos프락토올리고당
fructan,fructan
granule,granule
green,green
gythcjfltmxpqldk,gythcjfltmxpqldk
g소맥분,g소맥분
g후레이크,g후레이크
haccp,haccp
hexanal(헥사날),hexanal(헥사날)
hookeki,hookeki
k-1,k-1
l-멘톨(l-menthol),l-멘톨(l-menthol)
lavor,lavor
lg,lg
lsoamyl  acetate,lsoamylacetate
lsoamyl isovalerate,lsoamylisovalerate
methyl pyrazine,methylpyrazine
microcrystalline wax,microcrystallinewax
natural chicle,naturalchicle
p-a-디메틸스티렌,p-a-디메틸스티렌
p-톨루알데히드,p-톨루알데히드
r-데카락톤,r-데카락톤
r-운데카락톤,r-운데카락톤
r-테르피넨,r-테르피넨
rb,rb
refined,refined
rhamnous,rhamnous
rhdwjs,rhdwjs
rndustks,rndustks
sk-157,sk-157
soy sauce improver,soysauceimprover
spuild ink packed 오징어 먹물색소,spuildinkpacked오징어먹물색소
st.john's wort,stjohn'swort
st향미유,st향미유
sulfurol,sulfurol
tetra,tetra
trans-2-Hexenal,trans-2-hexenal
tumeric oleoresin,tumericoleoresin
vanilla extract,vanillaextract
vanillin,vanillin
whole red lentils,wholeredlentils
α-알킬(C12-C15)-ω-하이드록시폴리(옥시에틸렌)황산나트륨(폴리옥시에틸렌이 평균 1몰),알킬(c12-c15)--하이드록시폴리(옥시에틸렌)황산나트륨(폴리옥시에틸렌이평균1몰)
α-알킬(C6이상)-ω-하이드록시폴리(옥시프로필렌) 및/또는 폴리(옥시에틸렌) 공중합체,알킬(c6이상)--하이드록시폴리(옥시프로필렌)및또는폴리(옥시에틸렌)공중합체
γ-Decalactone,decalactone
가-424(B004)2130,가-424(b004)2130
가-424(E009) 2419,가-424(e009)2419
가쓰오농축액P,가쓰오농축액p
가쓰오베이스B,가쓰오베이스b
가쓰오부시75A,가쓰오부시75a
가쓰오부시조미액S,가쓰오부시조미액s
가쓰오조미액JP-P,가쓰오조미액jp-p
가쓰오추출액A,가쓰오추출액a
간 장 분 말(I),간장분말(i)
간장S,간장s
간장베이스D,간장베이스d
간장분말(l),간장분말(l)
간장분말-에이취비(HB),간장분말-에이취비(hb)
갈릭맛시즈닝-CW,갈릭맛시즈닝-cw
갈은배C,갈은배c
감마-헥사락톤(F2556),감마-헥사락톤(f2556)
감미유 -S,감미유-s
감미유 S,감미유s
감초추출물S,감초추출물s
감칠맛분말-P,감칠맛분말-p
강황 잎줄기 열수 추출물(Curcuma longa L.),강황잎줄기열수추출물(curcumalongal)
건Jicama덩이뿌리,건jicama덩이뿌리
건조비타민D3,건조비타민d3
건조효모(Cr),건조효모(cr)
건조효모(비타민D),건조효모(비타민d)
건조효모(비타민D2),건조효모(비타민d2)
게엑기스PY-1,게엑기스py-1
게향오일FM-712,게향오일fm-712
계피l,계피l
고구마 POWDER,고구마powder
고구마향 베이스 HJ-1143,고구마향베이스hj-1143
고려홍삼제리Ⅱ,고려홍삼제리ii
고초균(Bacillus subtilis)(고시형),고초균(bacillussubtilis)(고시형)
고추엑기스-DW,고추엑기스-dw
곤포엑기스분말NA,곤포엑기스분말na
과채유래유산균(L.plantarum CJLP133)(기능성원료인정제2013-11호),과채유래유산균(lplantarumcjlp133)(기능성원료인정제2013-11호)
구아바잎추출물 등 복합물(BENDU381)(기능성원료인정제2009-16호),구아바잎추출물등복합물(bendu381)(기능성원료인정제2009-16호)
구연산NA,구연산na
군고구마 향 베이스 DJ-1645,군고구마향베이스dj-1645
그레이프후르츠 오일 켈리포니아 CP FCC,그레이프후르츠오일켈리포니아cpfcc
그린색소DB,그린색소db
그린색소PKS,그린색소pks
그린오일DB,그린오일db
그린칼라AF,그린칼라af
그릴린 GB,그릴린gb
글리세린(첨26/F2525),글리세린(첨26f2525)
김치맛씨즈닝분말P,김치맛씨즈닝분말p
김치시즈닝P,김치시즈닝p
김치후레바(R-961261),김치후레바(r-961261)
꼬치양념S,꼬치양념s
낙산에틸(F2427),낙산에틸(f2427)
내츄럴믹스녹차K,내츄럴믹스녹차k
내츄럴믹스딸기K,내츄럴믹스딸기k
내츄럴카로틴P,내츄럴카로틴p
냉동난황E,냉동난황e
냉동딸기S,냉동딸기s
농축Red grape주스,농축redgrape주스
농후발효유-X,농후발효유-x
뉴슈가골드S,뉴슈가골드s
다시마엑기스-A,다시마엑기스-a
다시마엑기스분말N,다시마엑기스분말n
대구뼈엑기스-P,대구뼈엑기스-p
데리야끼소스A,데리야끼소스a
데카노익에시드(decanoic acid),데카노익에시드(decanoicacid)
데카논산에틸(ethyl decanoate),데카논산에틸(ethyldecanoate)
데코자임NP,데코자임np
델타-3-카렌(F3821),델타-3-카렌(f3821)
델타-데카락톤(F2361),델타-데카락톤(f2361)
델타-도데카락톤(F2401),델타-도데카락톤(f2401)
도우밋베이스-PC,도우밋베이스-pc
돈골엑기스D,돈골엑기스d
동충하초AM과립,동충하초am과립
드라이비타민D,드라이비타민d
드라이비타민D3,드라이비타민d3
디아세틸(diacetyl),디아세틸(diacetyl)
디에틸 말로네이트(diethyl malonate),디에틸말로네이트(diethylmalonate)
딸기시럽S,딸기시럽s
딸기향 S,딸기향s
딸기향 SJ-105,딸기향sj-105
딸기향(SKF-23322),딸기향(skf-23322)
딸기향B,딸기향b
딸기향H,딸기향h
딸기향SK,딸기향sk
라우린산(Lauric acid),라우린산(lauricacid)
라임베이직C,라임베이직c
라임향베이스#F-L27,라임향베이스f-l27
라즈베리ST-1135,라즈베리st-1135
락추로스 파우더(Lactulose Powder)(기능성원료인정제2009-40호),락추로스파우더(lactulosepowder)(기능성원료인정제2009-40호)
락토산 엔씨비350 컬리네리 부스터 Type 550205,락토산엔씨비350컬리네리부스터type550205
락티카제이바실러스 람노서스 아이디씨씨3201 열처리배양건조물(RHT3201®)(제2018-12호),락티카제이바실러스람노서스아이디씨씨3201열처리배양건조물(rht3201)(제2018-12호)
래드색소LA,래드색소la
레드RC,레드rc
레드칼라(RC-10734),레드칼라(rc-10734)
레드칼라DPL-9,레드칼라dpl-9
레드파우다K,레드파우다k
레드파우더 K,레드파우더k
레드파우더K-1,레드파우더k-1
레드페퍼JK,레드페퍼jk
레몬향 OK-15301,레몬향ok-15301
로스티드향 DJ-3187,로스티드향dj-3187
류코노스톡 DRC0211,류코노스톡drc0211
리나놀(linalool),리나놀(linalool)
리나롤(F2635),리나롤(f2635)
리나롤(linalool),리나롤(linalool)
리나롤옥사이드(linalool oxide),리나롤옥사이드(linalooloxide)
리보뉴클레오티드이Na,리보뉴클레오티드이na
리보뉴클로오티드Na,리보뉴클로오티드na
마끼야또향 베이스 HJ-1211/D,마끼야또향베이스hj-1211d
마늘농축액B,마늘농축액b
마요프리믹스R,마요프리믹스r
마운틴듀원액A,마운틴듀원액a
마운틴듀원액B,마운틴듀원액b
막사자임 NNP DS,막사자임nnpds
만두양념분말DW,만두양념분말dw
말톨(Maltol),말톨(maltol)
말티톨시럽 PMH,말티톨시럽pmh
맛베이스-T,맛베이스-t
망고시럽S,망고시럽s
망고향 SO30638,망고향so30638
매실향 HF-19151,매실향hf-19151
매운맛시즈닝DS,매운맛시즈닝ds
매운맛조미분NM,매운맛조미분nm
매일아미노산액S,매일아미노산액s
매직믹스-a,매직믹스-a
매플 후레바 11304100			&lt,매플후레바11304100lt
멀티미타민B1,멀티미타민b1
메론엣센스SCT,메론엣센스sct
메밀가루A,메밀가루a
메밀가루프리믹스A,메밀가루프리믹스a
메틸 페닐아세테이트(methyl phenylacetate),메틸페닐아세테이트(methylphenylacetate)
메틸-P-멘탄-3-카르복사마이드,메틸-p-멘탄-3-카르복사마이드
멘톨(L-menthol),멘톨(l-menthol)
멘틸 아세테이트(Menthyl acetate),멘틸아세테이트(menthylacetate)
멸 치 농 축 액  ST,멸치농축액st
멸치엑기스분말SB,멸치엑기스분말sb
명신칼라K,명신칼라k
모노구리SP,모노구리sp
무분말C,무분말c
무색캡시컴분말J,무색캡시컴분말j
물(H2O),물(h2o)
미르센(F2762),미르센(f2762)
미리스트산(Myristic acid),미리스트산(myristicacid)
미트베이스-NM,미트베이스-nm
미트베이스-S,미트베이스-s
미트베이스HK2446,미트베이스hk2446
믹스CZ-2,믹스cz-2
믹스SB,믹스sb
믹스VIPS,믹스vips
믹스젤-G,믹스젤-g
밀크향 KEY BASE 1,밀크향keybase1
밀크향 KEY BASE 2,밀크향keybase2
밀크향 SJ-105,밀크향sj-105
밀크향 SJ-105A,밀크향sj-105a
밀크향SY-90968,밀크향sy-90968
바나나 Key 후레바,바나나key후레바
바닐라후레바#F-V,바닐라후레바f-v
바닐라후레바#F-V31,바닐라후레바f-v31
바이오발효핵산 IG,바이오발효핵산ig
바이오크린콜-S,바이오크린콜-s
바이오헥산IG,바이오헥산ig
바타믹스-H,바타믹스-h
발효북두곡류효소S,발효북두곡류효소s
배터믹스D,배터믹스d
배터시즈닝-MK,배터시즈닝-mk
배터파우다-D,배터파우다-d
버터 키 후레바			&lt,버터키후레바lt
버터크림향 HK-2083,버터크림향hk-2083
버터향분말 WJC140554,버터향분말wjc140554
베이스#GF40325,베이스gf40325
베이스#M50424,베이스m50424
베이스AT풍미료,베이스at풍미료
베타-피넨(F2903),베타-피넨(f2903)
벤질 벤조에이트(benzyl benzoate),벤질벤조에이트(benzylbenzoate)
벤질 페닐 아세테이트(benzyl phenyl acetate),벤질페닐아세테이트(benzylphenylacetate)
보스웰리아 추출물(Boswellia serrata R. extract)(기능성원료인정제2014-23호),보스웰리아추출물(boswelliaserratarextract)(기능성원료인정제2014-23호)
복숭아향 D70923,복숭아향d70923
복숭아향 DL44741,복숭아향dl44741
복숭아향 G-3515-RX,복숭아향g-3515-rx
복숭아향A,복숭아향a
복숭아향B,복숭아향b
복합스파이스-ZLFD,복합스파이스-zlfd
복합씨즈닝분말-J,복합씨즈닝분말-j
복합염지제JW,복합염지제jw
복합치킨시즈닝BR,복합치킨시즈닝br
볶은Khorasan wheat씨앗분말,볶은khorasanwheat씨앗분말
볶음밥오일B,볶음밥오일b
부대찌개소스용양념M,부대찌개소스용양념m
부욜후레버DF,부욜후레버df
분말간장CJ,분말간장cj
분말된장-K,분말된장-k
분말베이스G-1,분말베이스g-1
분말비타민 A(고시형),분말비타민a(고시형)
분말비타민 D,분말비타민d
분말비타민A,분말비타민a
분말비타민A혼합제제,분말비타민a혼합제제
분말비타민B,분말비타민b
분말비타민B12혼합제제,분말비타민b12혼합제제
분말비타민D3혼합제제,분말비타민d3혼합제제
분말조미료VIM-821,분말조미료vim-821
분말한천(기능성원료인정New제2007-8호),분말한천(기능성원료인정new제2007-8호)
불갈비맛엑기스-NH,불갈비맛엑기스-nh
불고기소스믹스J-2,불고기소스믹스j-2
불고기소스믹스J-3,불고기소스믹스j-3
브라질세하도 NY2 원두커피 추출액,브라질세하도ny2원두커피추출액
블랙DS,블랙ds
블랙칼라JH,블랙칼라jh
블랙칼라P,블랙칼라p
블랭스윙믹스-S,블랭스윙믹스-s
블루베리칼라HF-2783,블루베리칼라hf-2783
블루베리향 L,블루베리향l
블루베리향H,블루베리향h
블루베리향NF- 2185,블루베리향nf-2185
비 타 민 C,비타민c
비니거파우더VNP-B,비니거파우더vnp-b
비빔양념B,비빔양념b
비빔용소스2-30gx5개,비빔용소스2-30gx5개
비빔장베이스-BN,비빔장베이스-bn
비타Q-1,비타q-1
비타겐AS,비타겐as
비타겐AS5,비타겐as5
비타믹스D,비타믹스d
비타민 - C,비타민-c
비타민 A,비타민a
비타민 A 아세테이트 분말,비타민a아세테이트분말
비타민 A 혼합제제,비타민a혼합제제
비타민 A 혼합제제분말,비타민a혼합제제분말
비타민 A(고시형),비타민a(고시형)
비타민 B,비타민b
비타민 B1 혼합,비타민b1혼합
비타민 B1 혼합분말,비타민b1혼합분말
비타민 B1 혼합제제,비타민b1혼합제제
비타민 B1 혼합제제분말,비타민b1혼합제제분말
비타민 B1(고시형),비타민b1(고시형)
비타민 B12,비타민b12
비타민 B12 혼합,비타민b12혼합
비타민 B12 혼합분말,비타민b12혼합분말
비타민 B12 혼합제제분말,비타민b12혼합제제분말
비타민 B12(고시형),비타민b12(고시형)
비타민 B1라우릴황산염,비타민b1라우릴황산염
비타민 B1라우릴황산염(고시형),비타민b1라우릴황산염(고시형)
비타민 B1염산염,비타민b1염산염
비타민 B1염산염(고시형),비타민b1염산염(고시형)
비타민 B1질산염,비타민b1질산염
비타민 B1질산염(고시형),비타민b1질산염(고시형)
비타민 B2,비타민b2
비타민 B2 인산에스테르나트륨,비타민b2인산에스테르나트륨
비타민 B2 인산에스테르나트륨(고시형),비타민b2인산에스테르나트륨(고시형)
비타민 B2 혼합제제,비타민b2혼합제제
비타민 B2(고시형),비타민b2(고시형)
비타민 B6 염산염,비타민b6염산염
비타민 B6 염산염 혼합제제,비타민b6염산염혼합제제
비타민 B6 염산염 혼합제제분말,비타민b6염산염혼합제제분말
비타민 B6(고시형),비타민b6(고시형)
비타민 B분말,비타민b분말
비타민 C - DNA 복합체,비타민c-dna복합체
비타민 C 분말,비타민c분말
비타민 C(고시형),비타민c(고시형)
비타민 D 혼합,비타민d혼합
비타민 D 혼합제제,비타민d혼합제제
비타민 D 혼합제제분말,비타민d혼합제제분말
비타민 D(고시형),비타민d(고시형)
비타민 D2 혼합제제,비타민d2혼합제제
비타민 D3,비타민d3
비타민 D3 혼합분말,비타민d3혼합분말
비타민 D3 혼합제제분말,비타민d3혼합제제분말
비타민 D3(고시형),비타민d3(고시형)
비타민 E,비타민e
비타민 E 혼합분말,비타민e혼합분말
비타민 E 혼합제제분말,비타민e혼합제제분말
비타민 E(고시형),비타민e(고시형)
비타민 K 혼합제제,비타민k혼합제제
비타민 K 혼합제제 분말,비타민k혼합제제분말
비타민 K2(고시형),비타민k2(고시형)
비타민 Premix ND INF0O,비타민premixndinf0o
비타민 혼합제제-YS1,비타민혼합제제-ys1
비타민-B1-염산염,비타민-b1-염산염
비타민A초산염,비타민a초산염
비타민A혼합분말,비타민a혼합분말
비타민B1질산염혼합제제,비타민b1질산염혼합제제
비타민B6혼합제제,비타민b6혼합제제
비타민C 2,비타민c2
비타민C1,비타민c1
비타민C혼합분말,비타민c혼합분말
비타민C혼합제제,비타민c혼합제제
비타민D2,비타민d2
비타민D3 분말,비타민d3분말
비타민D3혼합제제,비타민d3혼합제제
비타민E호합제제,비타민e호합제제
비타민E혼합제제,비타민e혼합제제
비타민K1,비타민k1
비타민K1혼합분말,비타민k1혼합분말
비타민K1혼합제제,비타민k1혼합제제
비타민K2,비타민k2
비타민PREMIX ND INF-O/01,비타민premixndinf-o01
비타민PREMIX ND LBW-P,비타민premixndlbw-p
비타민Premix ND INF,비타민premixndinf
비타민X,비타민x
비타민프리믹스-YS,비타민프리믹스-ys
비타민혼합제제 YS-1,비타민혼합제제ys-1
비타민혼합제제YS,비타민혼합제제ys
비타베이트-M,비타베이트-m
비타젠B,비타젠b
비타텐A,비타텐a
비티만C,비티만c
비티민 E,비티민e
비프맛 분말 H,비프맛분말h
비프분말H,비프분말h
비프스파이스B,비프스파이스b
비프시즈닝분말 NM,비프시즈닝분말nm
비프시즈닝파우다-N,비프시즈닝파우다-n
비프엑기스-S,비프엑기스-s
비프엑기스SW,비프엑기스sw
비프엑기스SW-10,비프엑기스sw-10
비프엑기스에스에프-2NM,비프엑기스에스에프-2nm
비프육수분말V,비프육수분말v
비프조미분NM,비프조미분nm
비프조미분말-DS,비프조미분말-ds
비프조미분말GF,비프조미분말gf
비프페이스트 H,비프페이스트h
비프후레바JS-003,비프후레바js-003
비피도박테리움에니멀리스SSP락티스,비피도박테리움에니멀리스ssp락티스
비피제트NM,비피제트nm
빔100B,빔100b
사골엑기스AS,사골엑기스as
사골엑기스HF,사골엑기스hf
사골파우다SW,사골파우다sw
사과농축액-K,사과농축액-k
사과농축액H,사과농축액h
사과농축액K,사과농축액k
사과향 A-63061,사과향a-63061
사과향 FAC-5810,사과향fac-5810
사과향 OT-16319,사과향ot-16319
사과향2(INABATA KLI-2555),사과향2(inabatakli-2555)
사과향H,사과향h
사우어인핸서G,사우어인핸서g
사워크림LP,사워크림lp
사워크림앤오니언씨즈닝DF0104KCV-1,사워크림앤오니언씨즈닝df0104kcv-1
사이덱스-S,사이덱스-s
산레드 ELF,산레드elf
산미료P,산미료p
색가E,색가e
샘표진간장S,샘표진간장s
생강농축액ST,생강농축액st
석류향G-3540-CZ,석류향g-3540-cz
설푸롤(sulfurol),설푸롤(sulfurol)
세리포리아 락세라타 K1 균사체 배양물(Ceriporia lacerata K1),세리포리아락세라타k1균사체배양물(ceriporialaceratak1)
세이버리비프파우다WK,세이버리비프파우다wk
세이버리비프후레바 H-502,세이버리비프후레바h-502
세이버리비프후레바115U-3,세이버리비프후레바115u-3
세이버리비프후레바M-001,세이버리비프후레바m-001
세이버리비프후레자H-502,세이버리비프후레자h-502
세이버리인핸서G,세이버리인핸서g
소고기엑기스-A,소고기엑기스-a
소고기엑기스-L,소고기엑기스-l
소고기엑기스-S,소고기엑기스-s
소고기엑기스A,소고기엑기스a
소고기엑기스S,소고기엑기스s
소고기엑기스SY,소고기엑기스sy
소고기엑기스분말NM,소고기엑기스분말nm
소고기엑기스페이스트-P,소고기엑기스페이스트-p
소고기엑기스페이스트P,소고기엑기스페이스트p
소다 키 후레바			&lt,소다키후레바lt
소프트M,소프트m
쇠고기국물내기S,쇠고기국물내기s
쇠고기농축액-K,쇠고기농축액-k
쇠고기맛분N,쇠고기맛분n
쇠고기맛분NM,쇠고기맛분nm
쇠고기맛분말NM,쇠고기맛분말nm
쇠고기베이스-K,쇠고기베이스-k
쇠고기분말-TN,쇠고기분말-tn
쇠고기분말NM,쇠고기분말nm
쇠고기분말TKF,쇠고기분말tkf
쇠고기엑기스-H,쇠고기엑기스-h
쇠고기엑기스-S,쇠고기엑기스-s
쇠고기엑기스NM,쇠고기엑기스nm
쇠고기엑기스P,쇠고기엑기스p
쇠고기페이스트H,쇠고기페이스트h
쇠고이페이스트H,쇠고이페이스트h
쇠비름주정추출분말(KDC16-2)(기능성원료인정제2019-18호),쇠비름주정추출분말(kdc16-2)(기능성원료인정제2019-18호)
쇼트닝Ⅰ,쇼트닝i
쇼트닝Ⅱ,쇼트닝ii
슈퍼-RK,슈퍼-rk
스모크후레바오일#F-S352,스모크후레바오일f-s352
스위트농축D2,스위트농축d2
스텐버덴마일드F,스텐버덴마일드f
스트로베리 키후레바 A,스트로베리키후레바a
스트로베리 후레바 RX,스트로베리후레바rx
스파게티소스시즈닝믹스-WS,스파게티소스시즈닝믹스-ws
스푸풀레이버 HL,스푸풀레이버hl
스푸플레이버 HL-14438,스푸플레이버hl-14438
스피아민트베이스S,스피아민트베이스s
시스-3-헥세놀(cis-3-hexenol),시스-3-헥세놀(cis-3-hexenol)
시즈닝C,시즈닝c
시즈닝믹스-AWM,시즈닝믹스-awm
시즈닝오일-DN,시즈닝오일-dn
시즈닝오일-DNT,시즈닝오일-dnt
시즈닝오일4T,시즈닝오일4t
시트랄(F2303),시트랄(f2303)
시트로넬랄(F2307),시트로넬랄(f2307)
식?m,식m
식리콘 LS-300,식리콘ls-300
식물성DHA오일,식물성dha오일
식물성DHA유지,식물성dha유지
식물성유산균발효액ENT,식물성유산균발효액ent
식물성크림분말 SW,식물성크림분말sw
식물혼합추출물분말ENSC,식물혼합추출물분말ensc
실라콘 LS-300,실라콘ls-300
실크단백질 산가수분해물(Sil-Q1)(기능성원료인정제2021-1호),실크단백질산가수분해물(sil-q1)(기능성원료인정제2021-1호)
쌀프레이크W,쌀프레이크w
쓰리인원내츄럴믹스메론A,쓰리인원내츄럴믹스메론a
쓰리인원내츄럴믹스포도A,쓰리인원내츄럴믹스포도a
씨즈닝#Q-56,씨즈닝q-56
씨즈닝오일DW,씨즈닝오일dw
씨즈닝오일H,씨즈닝오일h
씨즈닝오일N,씨즈닝오일n
아네톨(F2086),아네톨(f2086)
아라비아검(Arabic gum),아라비아검(arabicgum)
아라비아껌(Arabic gum),아라비아껌(arabicgum)
아라비안 검(arabic gum),아라비안검(arabicgum)
아마밀-K,아마밀-k
아마씨유WS,아마씨유ws
아미노 MS1,아미노ms1
아미노MW1,아미노mw1
아미노베이스P,아미노베이스p
아미노산베이스G,아미노산베이스g
아사이베리향15D31122,아사이베리향15d31122
아세토인(acetoin),아세토인(acetoin)
아세토초산에틸(ethyl acetoacetate),아세토초산에틸(ethylacetoacetate)
아세틸메칠카아비놀수퍼캡스 2MB68140,아세틸메칠카아비놀수퍼캡스2mb68140
아와브레이크 H-01,아와브레이크h-01
아지파로스BF,아지파로스bf
아프리카망고 종자추출물(IGOB131)(기능성원료인정제2015-14호),아프리카망고종자추출물(igob131)(기능성원료인정제2015-14호)
알긴-MH,알긴-mh
알데하이드C,알데하이드c
알데히드 C-14,알데히드c-14
알데히드 C-16,알데히드c-16
알데히드 c,알데히드c
알부민(기능성원료인정New제2007-23호),알부민(기능성원료인정new제2007-23호)
알파-이오논(F2594),알파-이오논(f2594)
알파-터피네올(F3045),알파-터피네올(f3045)
알파-피넨(F2902),알파-피넨(f2902)
알파소맥분A,알파소맥분a
알파콘-C,알파콘-c
알파포리겔-CS,알파포리겔-cs
알파포리겔-K,알파포리겔-k
알파폴리겔-HV,알파폴리겔-hv
애플베이직오일ST-1004,애플베이직오일st-1004
액상그린칼라-오LS-42042,액상그린칼라-오ls-42042
야채베이스P,야채베이스p
양조간장501S,양조간장501s
양조간장501S-P,양조간장501s-p
양지뜰간장-N,양지뜰간장-n
양파농축액S,양파농축액s
양파사골분말베이스DM,양파사골분말베이스dm
양파조미유CJ,양파조미유cj
에리스리톨(erythritol),에리스리톨(erythritol)
에스텔DS,에스텔ds
에틸 락테이트(Ethyl lactate),에틸락테이트(ethyllactate)
에틸말톨(F3487),에틸말톨(f3487)
에틸말톨(가-424(E079)),에틸말톨(가-424(e079))
에틸아세테이트(Ethyl Acetate),에틸아세테이트(ethylacetate)
에틸알콜(F2419),에틸알콜(f2419)
엑시드-K,엑시드-k
엘-멘톨(F2665),엘-멘톨(f2665)
염화-N-데실-N,염화-n-데실-n
염화-n-알킬,염화-n-알킬
염화-n-알킬(C12-C14)디메틸에틸벤질암모늄 (평균분자량 377～384),염화-n-알킬(c12-c14)디메틸에틸벤질암모늄(평균분자량377384)
염화-n-알킬(C12-C18)디메틸 에틸벤질암모늄 (평균분자량 384),염화-n-알킬(c12-c18)디메틸에틸벤질암모늄(평균분자량384)
염화디-n-알킬(C8-C10)디메틸암모늄(평균분자량 332～361),염화디-n-알킬(c8-c10)디메틸암모늄(평균분자량332361)
염화알킬(C12-C18)벤질디메틸 암모늄,염화알킬(c12-c18)벤질디메틸암모늄
염화칼슘(GDL),염화칼슘(gdl)
옐로우칼라LS-21028,옐로우칼라ls-21028
옐로우칼라osc,옐로우칼라osc
오렌지 오일 #171-BR,오렌지오일171-br
오렌지에센스P-3144,오렌지에센스p-3144
오렌지오일 A-78296,오렌지오일a-78296
오렌지향HF,오렌지향hf
오이향A,오이향a
오징어농축액H,오징어농축액h
오징어먹물색소 sepia color,오징어먹물색소sepiacolor
오징어분말TKF,오징어분말tkf
오징어향MK,오징어향mk
옥수수G,옥수수g
옥수수수염·레몬밤추출복합물(CL-5MoA)(제2023-7호),옥수수수염레몬밤추출복합물(cl-5moa)(제2023-7호)
옥수수전분NG,옥수수전분ng
와일드 망고 종자추출물(IGOB131)(기능성원료인정제2015-14호),와일드망고종자추출물(igob131)(기능성원료인정제2015-14호)
요구르트향503360TP0551,요구르트향503360tp0551
용성비타민P,용성비타민p
우슬 등 복합물(HL-Joint100)(기능성원료인정제2018-13호),우슬등복합물(hl-joint100)(기능성원료인정제2018-13호)
윈도우-S,윈도우-s
유게닐 아세테이트(eugenyl acetate),유게닐아세테이트(eugenylacetate)
유산균(김치에서 분리한 Leuconstoc mesenteroides)배양액,유산균(김치에서분리한leuconstocmesenteroides)배양액
유산균주A,유산균주a
유산균주B,유산균주b
유성비타민A지방산에스테르,유성비타민a지방산에스테르
유자향베이스 KI-1159,유자향베이스ki-1159
유칼립톨(F2465),유칼립톨(f2465)
유화유지-P,유화유지-p
유화제SP,유화제sp
이소길초산에틸(ethyl isovalerate),이소길초산에틸(ethylisovalerate)
이스트엑기스-W,이스트엑기스-w
이스트엑기스W,이스트엑기스w
이스트엑기스분말 HNLV-LS-3111-R3,이스트엑기스분말hnlv-ls-3111-r3
이스트엑기스분말HNLV-LS-3111,이스트엑기스분말hnlv-ls-3111
이스트엑기스분말KA,이스트엑기스분말ka
인동덩굴꽃봉오리추출물(그린세라-F)(기능성원료인정제2019-14호),인동덩굴꽃봉오리추출물(그린세라-f)(기능성원료인정제2019-14호)
