raw_name,normalized_name
Cherry Flavor 603418601,cherryflavor603418601
Chestnut oak열매,chestnutoak열매
Chocolate Flavor,chocolateflavor
Citral,citral
Clostridium butyricum strain Miyairi,clostridiumbutyricumstrainmiyairi
Clove bud oil,clovebudoil
Cochineal color,cochinealcolor
Coconut Flavor,coconutflavor
Coconut Flavor 10343100,coconutflavor10343100
Cognac oi,cognacoi
Cola10331600,cola10331600
Collactive 콜라겐펩타이드(기능성원료인정제2012-24호),collactive콜라겐펩타이드(기능성원료인정제2012-24호)
Compound CS-T Flavor 10354600,compoundcs-tflavor10354600
Compound CST Flavor 10354600,compoundcstflavor10354600
Compound10354600,compound10354600
Condensed Milk 10348100,condensedmilk10348100
Condensed Milk Flavor,condensedmilkflavor
CondensedMilk,condensedmilk
Corn base oil,cornbaseoil
Cranberry heath열매,cranberryheath열매
Cricket bat willow순,cricketbatwillow순
Curry-leaf tree잎,curry-leaftree잎
Custard Flavor 10355600,custardflavor10355600
Custard Flavor 60360102,custardflavor60360102
D - 솔비톨,d-솔비톨
D-MANNOSE,d-mannose
D-α-토코페롤추출물,d--토코페롤추출물
D-글루콘산나트륨,d-글루콘산나트륨
D-리모넨,d-리모넨
D-리보오스,d-리보오스
D-말티톨,d-말티톨
D-소르비톨,d-소르비톨
D-소르비톨결정성 분말,d-소르비톨결정성분말
D-소르비톨액,d-소르비톨액
D-소르비톨액농축액,d-소르비톨액농축액
D-소르비톨액상,d-소르비톨액상
D-소르비톨혼합제제,d-소르비톨혼합제제
D-소비톨,d-소비톨
D-소비톨액,d-소비톨액
D-솔 비톨액,d-솔비톨액
D-실키로오스,d-실키로오스
D-알파-토코페롤 혼합제제,d-알파-토코페롤혼합제제
D-알파-토코페롤(고시형),d-알파-토코페롤(고시형)
D-알파-토코페릴 초산염(고시형),d-알파-토코페릴초산염(고시형)
D-알파-토코페릴초산염혼합제제,d-알파-토코페릴초산염혼합제제
D-이스트,d-이스트
D-자일로오스,d-자일로오스
D-토코페롤 농축액 믹스(고시형),d-토코페롤농축액믹스(고시형)
D-토코페롤 혼합제제,d-토코페롤혼합제제
D-토코페롤(혼합형),d-토코페롤(혼합형)
D-푸레곤,d-푸레곤
DBH앰피크팩터즈,dbh앰피크팩터즈
DBH지노믹팩터즈,dbh지노믹팩터즈
DB메이트분,db메이트분
DF-100,df-100
DF100 S,df100s
DHA분말(고시형),dha분말(고시형)
DHA오일(고시형),dha오일(고시형)
DHA함유제품,dha함유제품
DIVINYLBENZENE-ETHYLVINYLBENZENE COPOLYMER,divinylbenzene-ethylvinylbenzenecopolymer
DK-ESTER,dk-ester
DKESTER F-160,dkesterf-160
DL -알라닌,dl-알라닌
DL- ∝ - 토 코 페 롤,dl--토코페롤
DL- 사과산,dl-사과산
DL-? 토 코 페 롤,dl-토코페롤
DL-메티오닌,dl-메티오닌
DL-멘톨,dl-멘톨
DL-사과산나트륨,dl-사과산나트륨
DL-알파-토코페롤(고시형),dl-알파-토코페롤(고시형)
DL-알파-토코페롤용액,dl-알파-토코페롤용액
DL-알파-토코페릴 초산염(고시형),dl-알파-토코페릴초산염(고시형)
DL-주석산,dl-주석산
DL-주석산나트륨,dl-주석산나트륨
DL알파토코페롤 혼합제제,dl알파토코페롤혼합제제
Dekkera bruxellensis,dekkerabruxellensis
Diacety1,diacety1
Diethyl malonate,diethylmalonate
Diethyl succinate,diethylsuccinate
Dietyl Succinate,dietylsuccinate
Dimethyl succinate,dimethylsuccinate
Dl-A-TOCOPHEROL ACETATE,dl-a-tocopherolacetate
Donkeys ear abalone,donkeysearabalone
Drink Flavor,drinkflavor
Drink flavor60400101,drinkflavor60400101
EDTA칼륨,edta칼륨
EDTA칼슘2나트륨,edta칼슘2나트륨
EDTA칼슘이나트륨,edta칼슘이나트륨
ED발효곡류효소,ed발효곡류효소
EPA 및 DHA 함유 유지(고시형),epa및dha함유유지(고시형)
ET-OH,et-oh
ETHYL 2-METHYL BUTYRATE,ethyl2-methylbutyrate
ETHYL ACETATE,ethylacetate
ETHYL MALTOL,ethylmaltol
EUCALYPTUS LEAF EXTRACT,eucalyptusleafextract
EXTR,extr
EXTRACT,extract
Emmer씨앗,emmer씨앗
Enaterococcus faecium,enaterococcusfaecium
Enterococcus faecalis,enterococcusfaecalis
Enterococcus faecalis 가열처리건조분말(기능성원료인정제2008-31호),enterococcusfaecalis가열처리건조분말(기능성원료인정제2008-31호)
Enterococcus faecium(고시형),enterococcusfaecium(고시형)
Essential oils,essentialoils
Esters,esters
Ethy1 acetate,ethy1acetate
Ethy1 butyrate,ethy1butyrate
Ethy1 octanoate,ethy1octanoate
Ethyl,ethyl
Ethyl Lactate,ethyllactate
Ethyl alcohol,ethylalcohol
Ethyl butyrate,ethylbutyrate
Ethyl hexanoate,ethylhexanoate
Ethyl isovalerate,ethylisovalerate
Ethyl nonanoate,ethylnonanoate
Ethyl propionate,ethylpropionate
Ethyl vanillin,ethylvanillin
F-5 배합분,f-5배합분
FC블랙페퍼,fc블랙페퍼
FC에스프레소추출액,fc에스프레소추출액
FD믹스-F1,fd믹스-f1
FEMA 2414,fema2414
FEMA 2419,fema2419
FEMA 2656,fema2656
FEMA 3107,fema3107
FEMA2940,fema2940
FOLD,fold
FURANEOL,furaneol
Fat,fat
Fatty acids,fattyacids
Finger millet분말,fingermillet분말
Fructilactobacillus sanfranciscensis,fructilactobacillussanfranciscensis
Furfural,furfural
Furfural derivatives,furfuralderivatives
Furfuryl alcohol,furfurylalcohol
Furfuryl mercaptan,furfurylmercaptan
Fusel oil,fuseloil
"G.D.L(글루코노델타락토""티"")",gdl(글루코노델타락토티)
GARLIC ESSENTIAL OIL,garlicessentialoil
GARLIC EXTRACT PREPARATION,garlicextractpreparation
GDL,gdl
GDL(글루코노델타락톤),gdl(글루코노델타락톤)
GROUND,ground
GS-100,gs-100
GT코코라,gt코코라
Galanga뿌리줄기,galanga뿌리줄기
Gardenia Blue color,gardeniabluecolor
Gardenia Yellow color(cv600),gardeniayellowcolor(cv600)
Gardenia blue,gardeniablue
Ginger essential Oil,gingeressentialoil
Gingerate Flvor 60702101,gingerateflvor60702101
Ginseng10710400,ginseng10710400
Glucoamylase,glucoamylase
Gluten,gluten
